element,id,name,brand,addr:street,addr:housenumber,addr:city,addr:postcode,phone,website,geometry,lat,lon,is_duplicate
node,142773190,MCDONALD'S,McDonald's,Rua Henrique Schaumann,124,São Paulo,05413-010,,,POINT (-46.6782804 -23.5633723),-23.56384728924478,-46.67850537068163,1
node,865280465,Mc Donalds,McDonald's,Avenida Bernardino de Campos,307,,04004-050,0800 888 1955,https://www.mcdonalds.com.br/,POINT (-46.6422711 -23.573439),-23.573799462071474,-46.64266860482383,1
node,2195123498,MCDONALD'S,McDonald's,Avenida Paulista,2034,São Paulo,01310-200,,,POINT (-46.6593523 -23.5585802),-23.558489707487553,-46.65982051732052,1
node,2428171364,MCDONALD'S,McDonald's,,,,,,,POINT (-46.7024611 -23.5284532),-23.528734562025196,-46.7024557447119,1
node,2862747295,MCDONALD'S,McDonald's,Rua Augusta,1858,São Paulo,01412-000,,,POINT (-46.6611783 -23.5588939),-23.558832654937063,-46.66096228038708,1
node,3383889645,McDonald's,McDonald's,,,,,,,POINT (-46.7198587 -23.4879365),-23.488216059377958,-46.71976943431613,1
node,3415424081,MCDONALD'S,McDonald's,Rua Oscar Freire,430,São Paulo,05406-000,,,POINT (-46.6749939 -23.5559542),-23.55569539263287,-46.67533424068362,1
node,4103925391,McDonald's,McDonald's,,,,,,,POINT (-46.7070513 -23.653066),-23.653225749483482,-46.70739582050019,1
node,4103937989,MCDONALDS,McDonald's,Rua Direita,33,São Paulo,01002-001,,,POINT (-46.6340033 -23.5489703),-23.54936808972348,-46.634123372699364,1
node,4230461279,MCDONALDS,McDonald's,Rua Silva Bueno,2185,São Paulo,04208-052,,,POINT (-46.6005897 -23.5978487),-23.59750120563365,-46.60048597396863,1
node,4552187868,MCDONALD'S,McDonald's,Rua Maria Marcolina,440,São Paulo,03011-000,,,POINT (-46.6161189 -23.5381087),-23.537878968213306,-46.61608267190854,1
node,4713491634,McDonald's,McDonald's,Rua Doutor Luiz Migliano,,,,,,POINT (-46.7424792 -23.6131366),-23.61355779980192,-46.74268602171859,1
node,4936395923,MCDONALDS,McDonald's,,,,,,,POINT (-46.640467 -23.5427516),-23.54267424785474,-46.64026242816379,1
node,4964023947,MCDONALD'S,McDonald's,Avenida Paulista,810,São Paulo,01310-100,,,POINT (-46.6505201 -23.566083),-23.56592173668143,-46.65024703165921,1
node,5084749337,MCDONALD'S,McDonald's,Rua São Bento,215,São Paulo,01011-000,,,POINT (-46.6358014 -23.5471871),-23.546831782278982,-46.635434916333246,1
node,5091921398,McDonald's,McDonald's,Rua Vinte e Cinco de Março,767,São Paulo,01021-200,,,POINT (-46.632498 -23.5430315),-23.543253526396892,-46.63236231555573,1
node,5186280749,MCDONALDS,McDonald's,Rua Vinte e Cinco de Março,1109,São Paulo,01021-200,,,POINT (-46.6321726 -23.5399784),-23.54031574590284,-46.63231732929977,1
node,5887250288,MCDONALDS,McDonald's,,,,,,,POINT (-46.4499546 -23.5406288),-23.540426979686544,-46.44977105233446,1
node,5894715989,MCDONALD'S,McDonald's,,,,,,,POINT (-46.7008063 -23.5209359),-23.520826768994333,-46.70113516135181,1
node,5894770685,Mc Donalds,McDonald's,,,,,,,POINT (-46.709787 -23.6531488),-23.653485397506238,-46.70990754455824,1
node,6216089070,Mc Donalds,McDonald's,,,,,,,POINT (-46.5996862 -23.5216264),-23.52144178574901,-46.59934334807981,1
node,6389931858,MCDONALD'S,McDonald's,,,,,,,POINT (-46.619423 -23.5896226),-23.589893551928036,-46.61989089975609,1
node,6584571806,MCDONALDS,McDonald's,Avenida Marechal Tito,3333,,,,,POINT (-46.4125422 -23.4945142),-23.49461303521298,-46.41297601139478,1
node,6711300983,MCDONALDS,McDonald's,Avenida Brigadeiro Faria Lima,1721,São Paulo,01452-001,,,POINT (-46.6896824 -23.572392),-23.572679373455948,-46.68968316874051,1
node,7128603055,McDonald's,McDonald's,Rua Barão de Itapetininga,26,São Paulo,01042-000,,,POINT (-46.6395816 -23.5453816),-23.545738728409557,-46.63994196968047,1
node,7177787341,MCDONALDS,McDonald's,,,,,,,POINT (-46.7122011 -23.6164626),-23.616215586188346,-46.71227266617271,1
node,7233891172,McDonald's,McDonald's,Rua Serra de Bragança,437,São Paulo,03318-000,,,POINT (-46.5712756 -23.5454692),-23.545607203556287,-46.57077827422201,1
node,9706142974,Mc Donalds,McDonald's,,,,,,,POINT (-46.6993834 -23.62381),-23.62380047370632,-46.699792490587825,1
node,9709143833,MCDONALD'S,McDonald's,,,,,,,POINT (-46.6964571 -23.6091925),-23.60883139709033,-46.69680425868066,1
node,9709143862,Mc Donalds,McDonald's,,,,,,,POINT (-46.697041 -23.6101532),-23.609861120635635,-46.6971188400332,1
node,9711875813,MCDONALD'S,McDonald's,,,,,,,POINT (-46.6519975 -23.5542176),-23.554332832688328,-46.65190161157164,1
node,9717848310,McDonald's,McDonald's,,,,,,,POINT (-46.5770054 -23.5420048),-23.5419756856549,-46.57653432162238,1
node,9717887173,MCDONALD'S,McDonald's,,,,,,,POINT (-46.5765546 -23.539136),-23.538955716589744,-46.576940048257015,1
node,10032623950,MCDONALDS,McDonald's,,,,,,,POINT (-46.7248619 -23.5859337),-23.58566510126734,-46.72502172452697,1
node,10922252874,MCDONALDS,McDonald's,,,,,,,POINT (-46.5809933 -23.5850739),-23.585139134749333,-46.581039576293676,1
node,11603007236,MCDONALDS Sorvetes,McDonald's,Avenida Arquiteto Vilanova Artigas,132,,,,,POINT (-46.5012176 -23.6135164),-23.61304451190113,-46.50095563780094,1
node,11779572657,MCDONALD'S,McDonald's,,,,,,,POINT (-46.7175217 -23.630248),-23.629877481430164,-46.71772325520855,1
node,11809589930,Mc Donalds,McDonald's,,,,,,,POINT (-46.5939182 -23.5795696),-23.57991676073145,-46.59365568919992,1
node,12732034241,MCDONALD'S,McDonald's,,,,,,,POINT (-46.5483412 -23.6018268),-23.60172785541554,-46.54835259429198,1
node,12849695500,MCDONALD'S,McDonald's,,,,,,,POINT (-46.6187242 -23.5371165),-23.536687401383734,-46.61834547812218,1
node,12911126272,MCDONALDS,McDonald's,,,,,,,POINT (-46.6241362 -23.5217588),-23.522019347689664,-46.62439532840755,1
node,12950445773,MCDONALD'S,McDonald's,,,,,,,POINT (-46.6988346 -23.6780168),-23.678431146547933,-46.69884860953668,1
node,12950445778,MCDONALD'S,McDonald's,,,,,,,POINT (-46.6957372 -23.5724799),-23.572001915506323,-46.695704493830476,1
node,12986820698,Mc Donalds,McDonald's,,,,,,,POINT (-46.6101982 -23.4788203),-23.479191908535498,-46.610222917621904,1
node,13141297304,Mc Donalds,McDonald's,,,,,,,POINT (-46.6756897 -23.5152326),-23.51546754337106,-46.67531726695891,1
node,13568554139,McDonald's,McDonald's,Ladeira Porto Geral,,São Paulo,01022-000,,,POINT (-46.6332963 -23.5446779),-23.54421353709399,-46.632867386506994,1
node,13633992534,Mc Donalds,McDonald's,,,,,,,POINT (-46.7707745 -23.6660309),-23.66581795102718,-46.770875507700005,1
